old_url,new_url,action(keep/301/410),reason,priority(high/med/low)
https://buffalocannabisnetwork.com/privacy/,https://buffalocannabisnetwork.com/privacy/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/news/category/regulatory-updates/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/category/products-brands/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/members/suny-niagara-horticulture-program/,https://buffalocannabisnetwork.com/members/suny-niagara-horticulture-program/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/news/tag/terpene-education/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/category/policy-legal/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/tag/cannabis-sales/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/buffalo-cannabis-network-dispensary-showcase-recap-photo-gallery/,https://buffalocannabisnetwork.com/buffalo-cannabis-network-dispensary-showcase-recap-photo-gallery/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/news/tag/small-batch-cannabis/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/tag/veteran-owned-cannabis-business/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/tag/snowbelt-cannabis/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/tag/cannabis-market/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/tag/new-york-cannabis-patient-support/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/events/bcn-dispensary-showcase/,https://buffalocannabisnetwork.com/events/bcn-dispensary-showcase/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/members/bootstrap-buffalo/,https://buffalocannabisnetwork.com/members/bootstrap-buffalo/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/events/summer-send-off/,https://buffalocannabisnetwork.com/events/summer-send-off/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/news/tag/cannabis-news/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/tag/jamestown-ny-cannabis/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/events/buffalo-cannabis-network/,https://buffalocannabisnetwork.com/events/buffalo-cannabis-network/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/news/tag/medical-cannabis-tbi/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/events/member-happy-hour/,https://buffalocannabisnetwork.com/events/member-happy-hour/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/news/tag/cannabis-advocate-buffalo-ny/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/tag/new-york-cannabis/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/tag/social-equity-cannabis/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/shop/,https://buffalocannabisnetwork.com/shop/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/news/tag/new-york-stat-ocm/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/news/tag/supply-chain/,https://buffalocannabisnetwork.com/news/,301,Consolidate archive/taxonomy URLs to canonical topic or parent page,low
https://buffalocannabisnetwork.com/product/dj-booth-sponsor/,https://buffalocannabisnetwork.com/product/dj-booth-sponsor/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/events/croptober-celebration/,https://buffalocannabisnetwork.com/events/croptober-celebration/,keep,Top page or content URL should be preserved,low
https://buffalocannabisnetwork.com/events/april-coffee-networking/,https://buffalocannabisnetwork.com/events/april-coffee-networking/,keep,Top page or content URL should be preserved,low
